"Eco_Ctrl1"	"Eco_Ctrl2"	"Eco_Exp1"	"Eco_Exp2"
"b0185"	22.5409440368955	29.3903333690881	33.5445129729293	32.0789979478811
"b0186"	3.07376509594029	0	1.59735776061568	0
"b0187"	1.02458836531343	2.67184848809892	0.958414656369409	3.10441915624655
"b0188"	3.07376509594029	2.67184848809892	5.11154483397018	7.24364469790863
"b0189"	5.12294182656715	8.01554546429675	4.79207328184704	6.20883831249311
"b0190"	0	2.67184848809892	0.638943104246272	0
"b0191"	1.02458836531343	0	1.59735776061568	3.10441915624655
"b0192"	1.02458836531343	5.34369697619783	4.47260172972391	3.10441915624655
"b0193"	0	0	0	0
"b0194"	25.6147091328358	37.4058788333848	49.8375621312093	50.7055128853604
"b0195"	0	0	0.638943104246272	0
"b0196"	2.04917673062686	2.67184848809892	1.91682931273882	2.06961277083104
"b0197"	18.4425905756417	32.062181857187	26.1966672740972	42.4270618020362
"b0198"	9.22129528782087	2.67184848809892	8.94520345944781	19.6613213228948
"b0199"	6.14753019188058	0	7.34784569883213	10.3480638541552
"b0200"	2.04917673062686	13.3592424404946	5.75048793821645	9.31325746873966
"b0207"	0	0	0	0
"b0208"	0	0	0.319471552123136	2.06961277083104
"b0209"	3.07376509594029	0	7.66731725095527	6.20883831249311
"b0210"	2.04917673062686	0	0.638943104246272	0
"b0211"	40.9835346125372	18.7029394166924	29.0719112432054	40.3574490312052
"b0212"	0	0	0	0
"b0213"	0	0	0.319471552123136	0
"b0214"	0	2.67184848809892	0.319471552123136	1.03480638541552
"b0215"	1.02458836531343	5.34369697619783	10.2230896679404	4.13922554166207
"b0217"	0	0	0	0
"b0218"	0	0	0	0
"b0219"	2.04917673062686	0	2.23630086486195	0
"b0220"	6.14753019188058	16.0310909285935	20.1267077837576	16.5569021666483
"b0221"	1.02458836531343	5.34369697619783	2.55577241698509	2.06961277083104
