"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"b0177"	19.5429402413529	-0.331501562172664	0.718783651966622	-0.461197971414155	0.64465657696967	0.997650430522366
"b0178"	18.3148368756318	0.514508944731061	0.733401286486883	0.701538099552083	0.482967266469323	0.997650430522366
"b0179"	15.8036127758885	-0.467427785799929	0.822841238799724	-0.568065580283463	0.569990438383155	0.997650430522366
"b0180"	18.7308641165434	-0.381548171039252	0.74693896907161	-0.510815725029701	0.60948009701004	0.997650430522366
"b0181"	29.2362699903398	-0.0930426393819699	0.6594380588833	-0.141093826976759	0.88779582022721	0.997650430522366
"b0182"	3.60439030942427	-0.493571754475432	1.67941285591448	-0.293895424664157	0.768837814390168	NA
"b0183"	0.677138968769327	-2.11894212215086	3.74418372213683	-0.565928992646111	0.571442051672457	NA
"b0184"	9.79944796509739	0.296910151303218	0.987873428297193	0.30055485125762	0.763753963847961	0.997650430522366
"b0185"	29.3886970816985	-0.370841527550832	0.599557240662104	-0.618525642591362	0.536228899989331	0.997650430522366
"b0186"	1.16778071413899	0.957476912174383	2.97634893268402	0.321695114998142	0.747683678962044	NA
